N	Series computation
5390	3.14142
5400	3.14142
5410	3.14142
5420	3.14142
5430	3.14142
5440	3.14142
5450	3.14142
5460	3.14142
5470	3.14142
5480	3.14142
5490	3.14142
5500	3.14142
5510	3.14142
5520	3.14142
5530	3.14142
5540	3.14142
5550	3.14142
5560	3.14142
5570	3.14142
5580	3.14142
5590	3.14142
5600	3.14142
5610	3.14142
5620	3.14142
5630	3.14142
5640	3.14142
5650	3.14142
5660	3.14142
5670	3.14142
5680	3.14142
5690	3.14142
5700	3.14143
5710	3.14143
5720	3.14143
5730	3.14143
5740	3.14143
5750	3.14143
5760	3.14143
5770	3.14143
5780	3.14143
5790	3.14143
5800	3.14143
5810	3.14143
5820	3.14143
5830	3.14143
5840	3.14143
5850	3.14143
5860	3.14143
5870	3.14143
5880	3.14143
5890	3.14143
5900	3.14143
5910	3.14143
5920	3.14143
5930	3.14143
5940	3.14143
5950	3.14143
5960	3.14143
5970	3.14143
5980	3.14143
5990	3.14143
6000	3.14143
6010	3.14143
6020	3.14143
6030	3.14143
6040	3.14143
6050	3.14143
6060	3.14144
6070	3.14144
6080	3.14144
6090	3.14144
6100	3.14144
6110	3.14144
6120	3.14144
6130	3.14144
6140	3.14144
6150	3.14144
6160	3.14144
6170	3.14144
6180	3.14144
6190	3.14144
6200	3.14144
6210	3.14144
6220	3.14144
6230	3.14144
6240	3.14144
6250	3.14144
6260	3.14144
6270	3.14144
6280	3.14144
6290	3.14144
6300	3.14144
6310	3.14144
6320	3.14144
6330	3.14144
6340	3.14144
6350	3.14144
6360	3.14144
6370	3.14144
6380	3.14144
6390	3.14144
6400	3.14144
6410	3.14144
6420	3.14144
6430	3.14144
6440	3.14144
6450	3.14144
6460	3.14144
6470	3.14145
6480	3.14145
6490	3.14145
6500	3.14145
6510	3.14145
6520	3.14145
6530	3.14145
6540	3.14145
6550	3.14145
6560	3.14145
6570	3.14145
6580	3.14145
6590	3.14145
6600	3.14145
6610	3.14145
6620	3.14145
6630	3.14145
6640	3.14145
6650	3.14145
6660	3.14145
6670	3.14145
6680	3.14145
6690	3.14145
6700	3.14145
6710	3.14145
6720	3.14145
6730	3.14145
6740	3.14145
6750	3.14145
6760	3.14145
6770	3.14145
6780	3.14145
6790	3.14145
6800	3.14145
6810	3.14145
6820	3.14145
6830	3.14145
6840	3.14145
6850	3.14145
6860	3.14145
6870	3.14145
6880	3.14145
6890	3.14145
6900	3.14145
6910	3.14145
6920	3.14145
6930	3.14145
6940	3.14146
6950	3.14146
6960	3.14146
6970	3.14146
6980	3.14146
6990	3.14146
7000	3.14146
7010	3.14146
7020	3.14146
7030	3.14146
7040	3.14146
7050	3.14146
7060	3.14146
7070	3.14146
7080	3.14146
7090	3.14146
7100	3.14146
7110	3.14146
7120	3.14146
7130	3.14146
7140	3.14146
7150	3.14146
7160	3.14146
7170	3.14146
7180	3.14146
7190	3.14146
7200	3.14146
7210	3.14146
7220	3.14146
7230	3.14146
7240	3.14146
7250	3.14146
7260	3.14146
7270	3.14146
7280	3.14146
7290	3.14146
7300	3.14146
7310	3.14146
7320	3.14146
7330	3.14146
7340	3.14146
7350	3.14146
7360	3.14146
7370	3.14146
7380	3.14146
7390	3.14146
7400	3.14146
7410	3.14146
7420	3.14146
7430	3.14146
7440	3.14146
7450	3.14146
7460	3.14146
7470	3.14146
7480	3.14146
7490	3.14147
7500	3.14147
7510	3.14147
7520	3.14147
7530	3.14147
7540	3.14147
7550	3.14147
7560	3.14147
7570	3.14147
7580	3.14147
7590	3.14147
7600	3.14147
7610	3.14147
7620	3.14147
7630	3.14147
7640	3.14147
7650	3.14147
7660	3.14147
7670	3.14147
7680	3.14147
7690	3.14147
7700	3.14147
7710	3.14147
7720	3.14147
7730	3.14147
7740	3.14147
7750	3.14147
7760	3.14147
7770	3.14147
7780	3.14147
7790	3.14147
7800	3.14147
7810	3.14147
7820	3.14147
7830	3.14147
7840	3.14147
7850	3.14147
7860	3.14147
7870	3.14147
7880	3.14147
7890	3.14147
7900	3.14147
7910	3.14147
7920	3.14147
7930	3.14147
7940	3.14147
7950	3.14147
7960	3.14147
7970	3.14147
7980	3.14147
7990	3.14147
8000	3.14147
8010	3.14147
8020	3.14147
8030	3.14147
8040	3.14147
8050	3.14147
8060	3.14147
8070	3.14147
8080	3.14147
8090	3.14147
8100	3.14147
8110	3.14147
8120	3.14148
8130	3.14148
8140	3.14148
8150	3.14148
8160	3.14148
8170	3.14148
8180	3.14148
8190	3.14148
8200	3.14148
8210	3.14148
8220	3.14148
8230	3.14148
8240	3.14148
8250	3.14148
8260	3.14148
8270	3.14148
8280	3.14148
